Zaman damgası,Kullanıcı Adı,Yaş,Cinsiyet,Eğitim Düzeyi,4-Medeni durumunuz,Hemşirelik Meslek Yılı,Okul Sağlığı Hemşiresi Olarak Mesleki Yılı,Görev Yapılan Il,8-Okul sağlığı hemşireliği kapsamında kaç tane hizmet içi eğitime katıldınız?,9-Hizmet içi eğitimlere aşağıdaki cihazlardan hangisini kullanarak katıldınız?,10-Hizmetiçi eğitimlere çevrimiçi (online) katılım durumunuzu hangisi en iyi ifade eder?,11-Aşağıdaki eğitim yöntemlerinden hangisini tercih edersiniz?,"
12- Lütfen aşağıdaki tabloyu katıldığınız okul sağlığı hemşireliği hizmet içi eğitimlerini düşünerek size uygun şekilde yanıtlayınız. [Eğitim konuları mesleğime uygundur.]","
12- Lütfen aşağıdaki tabloyu katıldığınız okul sağlığı hemşireliği hizmet içi eğitimlerini düşünerek size uygun şekilde yanıtlayınız. [Eğitim konuları ihtiyacıma uygundur.]","
12- Lütfen aşağıdaki tabloyu katıldığınız okul sağlığı hemşireliği hizmet içi eğitimlerini düşünerek size uygun şekilde yanıtlayınız. [Eğitimler sonucunda okul sağlığı hemşireliği faaliyetlerine yönelik bilgi sahibi oldum]","
12- Lütfen aşağıdaki tabloyu katıldığınız okul sağlığı hemşireliği hizmet içi eğitimlerini düşünerek size uygun şekilde yanıtlayınız. [Eğitimler, okul sağlığı hizmetleri uygulamaları hakkında farkındalık oluşturdu.]","
12- Lütfen aşağıdaki tabloyu katıldığınız okul sağlığı hemşireliği hizmet içi eğitimlerini düşünerek size uygun şekilde yanıtlayınız. [Öğrencilere sağlıklı yaşam biçimi davranışı kazandırmada bilgi sahibi oldum.]","
12- Lütfen aşağıdaki tabloyu katıldığınız okul sağlığı hemşireliği hizmet içi eğitimlerini düşünerek size uygun şekilde yanıtlayınız. [Eğitimlerin, velilere sağlıklı yaşam biçimi davranışı kazandırmada olumlu etkisi olduğunu gördüm.]","
12- Lütfen aşağıdaki tabloyu katıldığınız okul sağlığı hemşireliği hizmet içi eğitimlerini düşünerek size uygun şekilde yanıtlayınız. [Eğitimler, özel sağlık gereksinimli çocuklara yaklaşımımda farkındalık oluşturdu.]","
12- Lütfen aşağıdaki tabloyu katıldığınız okul sağlığı hemşireliği hizmet içi eğitimlerini düşünerek size uygun şekilde yanıtlayınız. [Eğitimler, diyabetli çocuğa yaklaşımda farkındalık oluşturdu.]","
12- Lütfen aşağıdaki tabloyu katıldığınız okul sağlığı hemşireliği hizmet içi eğitimlerini düşünerek size uygun şekilde yanıtlayınız. [İlk yardım uygulamalarında bilgi sahibi oldum.]","
12- Lütfen aşağıdaki tabloyu katıldığınız okul sağlığı hemşireliği hizmet içi eğitimlerini düşünerek size uygun şekilde yanıtlayınız. [Kantin gıda güvenliği ve uygulamaları hakkında bilgi sahibi oldum.]","
12- Lütfen aşağıdaki tabloyu katıldığınız okul sağlığı hemşireliği hizmet içi eğitimlerini düşünerek size uygun şekilde yanıtlayınız. [Okul çevre sağlığını değerlendirme uygulamaları hakkında bilgi sahibi oldum.]","
12- Lütfen aşağıdaki tabloyu katıldığınız okul sağlığı hemşireliği hizmet içi eğitimlerini düşünerek size uygun şekilde yanıtlayınız. [Adli olaylara yaklaşım konusunda bilgi sahibi oldum.]","
12- Lütfen aşağıdaki tabloyu katıldığınız okul sağlığı hemşireliği hizmet içi eğitimlerini düşünerek size uygun şekilde yanıtlayınız. [Sağlığı geliştirme ve bireysel sorumluluk kazandırmada bilgi sahibi oldum.]","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Okul sağlığı hemşirelik hizmetlerini istendik şekilde gerçekleştirebiliyorum.]","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Sağlıklı yaşam biçimi davranışlarını değerlendirmeye yönelik ölçüm araçlarına ulaşabilirim.]","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Temel ilk yardım uygulamalarını yapabiliyorum.]","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Öğrenci gereksinimine özgü bakım planı hazırlayabiliyorum.]","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Öğrencilerin fiziksel sağlık gereksinimlerini saptayabiliyorum.]","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Öğrencilerin ruhsal sağlık gereksinimlerini saptayabiliyorum.]","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Öğrencilerin mental sağlık gereksinimlerini saptayabiliyorum.]","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Öğrenci-veli-okul arasındaki iletişimi sağlayabiliyorum.]","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Velileri gerektiğinde sağlık kuruluşlarına yönlendirebiliyorum.]","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Velilerin sağlık eğitim gereksinimlerini saptayabiliyorum.]","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Sağlık eğitimlerini davranışsal çıktılar açısından değerlendirebiliyorum.]","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Öğrencilerde sağlıklı/sağlıksız yaşam biçimi davranışlarını gözlemleyebilirim.]","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Okul personelinin sağlıklı yaşam bilgi düzeyini değerlendirebilirim.]","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Okul personelinin sağlıklı yaşam biçimi davranışlarını değerlendirebilirim.]","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Velilerin sağlıklı yaşam biçimi davranışlarını değerlendirebilirim.]","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Velilerin sağlıklı yaşam biçimi bilgi düzeyinin değerlendirebilirim.]","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Okul çevre sağlığı güvenliğini değerlendirebilirim.]","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Öğrencilerin boy-kilo takibini yaparak büyüme ve gelişmesini takip edebilirim.]","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Öğrencilerin riskli sağlık davranışları (madde kullanımı vb.) değerlendirebilirim.]","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Öğrenci-veli-personel eğitimleri sonucunda davranış değişikliğini değerlendirebilirim.]","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Bireylerin sağlığını geliştirecek planlamalarda uygun öğretim yöntemlerini planlayabilirim (örn: atölye çalışması, sunum, poster, afiş, gezi, etki","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Öğrenci-veli-personel sağlık eğitimine yönelik geri bildirimlerinin sürekliliğini sağlayabilirim. (örn: periyodik eğitimler, periyodik geribildiri","
13- Okul sağlığı hemşireliği Beceri ve Hazır Bulunuşluk Analizi: Lütfen size uygun seçeneği işaretleyiniz. [Öğrenci-veli-personel sağlık takibini yapabilirim.]",14- Motivasyon-isteklilik: Lütfen size uygun seçeneği işaretleyiniz. [Okul sağlığı hemşireliği uygulamaları konusunda istekliyim.],14- Motivasyon-isteklilik: Lütfen size uygun seçeneği işaretleyiniz. [Hizmetiçi eğitimlere katılmada istekliyim.],14- Motivasyon-isteklilik: Lütfen size uygun seçeneği işaretleyiniz. [Okul sağlığı hemşireliğine yönelik bilgi ve birikimimi geliştirmede istekliyim.],14- Motivasyon-isteklilik: Lütfen size uygun seçeneği işaretleyiniz. [Okul sağlığı hemşireliği mesleğinin gereklerini yerine getirmede motiveyim.],14- Motivasyon-isteklilik: Lütfen size uygun seçeneği işaretleyiniz. [Öğrencilere sağlık bilinci kazandırmada kendimi yetkin hissediyorum.],14- Motivasyon-isteklilik: Lütfen size uygun seçeneği işaretleyiniz. [Velilere sağlık bilinci kazandırmada kendimi yetkin hissediyorum.],14- Motivasyon-isteklilik: Lütfen size uygun seçeneği işaretleyiniz. [Okul personeline sağlık bilinci kazandırmada kendimi yetkin hissediyorum.],15- Okul sağlığı hemşiresi olarak hangi hizmetiçi eğitim konularına ihtiyaç duyuyorsunuz? Lütfen yazınız,16- Lütfen eklemek istediğiniz diğer hususları yazınız.
2022/07/21 9:56:09 ÖÖ GMT+3,,27,Kadın,Ön lisans,Evli,8,8,Kars,10,Akıllı telefon,Derslere katılmada bazen sorun yaşadım,Sadece yüz yüze eğitim,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Katılıyorum,Katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Kısmen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Katılıyorum,Katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Ergenlerlik çağındaki çocukların ruhsal değişimi konusunda eğitim olabilir.,
2022/07/21 9:56:47 ÖÖ GMT+3,,28,Kadın,Ön lisans,Bekar,11,8,Isparta,20,Bilgisayar,Derslere katılmada hiç sorun yaşamadım,Çevrimiçi eğitim ve yüz yüze eğitim birlikte,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Katılıyorum,Katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Kısmen katılıyorum,Katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tüm eğitim taleplerim karşılanmaktadır. ,
2022/07/21 9:57:14 ÖÖ GMT+3,,27,Erkek,Lisans,Bekar,7,7,Trabzon,8,Bilgisayar,Derslere katılmada bazen sorun yaşadım,Sadece yüz yüze eğitim,Kısmen katılıyorum,Kısmen katılıyorum,Kısmen katılıyorum,Kısmen katılıyorum,Kısmen katılıyorum,Kısmen katılıyorum,Katılıyorum,Katılıyorum,Tamamen katılıyorum,Katılıyorum,Katılıyorum,Kısmen katılıyorum,Kısmen katılıyorum,Katılıyorum,Kısmen katılıyorum,Tamamen katılıyorum,Katılıyorum,Katılıyorum,Kısmen katılıyorum,Kısmen katılıyorum,Katılıyorum,Tamamen katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Kısmen katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılmıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,,
2022/07/21 9:58:28 ÖÖ GMT+3,,41,Kadın,Lisans,Evli,22,22,Tekirdağ,30,Bilgisayar,Derslere katılmada sıklıkla sorun yaşadım,Sadece çevrimiçi eğitim,Kısmen katılıyorum,Kısmen katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Kısmen katılıyorum,Katılıyorum,Kısmen katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Kısmen katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Kısmen katılıyorum,Kısmen katılıyorum,Katılıyorum,Katılıyorum,Kısmen katılıyorum,Kısmen katılıyorum,Katılıyorum,Kısmen katılıyorum,Katılmıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,,Eğitim saatlerinde iş yogunluğu nedeniyle takip etmekte zorlandım.
2022/07/21 9:59:04 ÖÖ GMT+3,,27,Erkek,Lisans,Bekar,10,9,Muş,40,Bilgisayar,Derslere katılmada hiç sorun yaşamadım,Sadece çevrimiçi eğitim,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Görme bozuklukları konularında tarama süreci için bir eğitim planlanabilir ,İlginiz için teşekkür ederim 
2022/07/21 9:59:27 ÖÖ GMT+3,,48,Kadın,Ön lisans,Evli,21,15,Isparta ,24,Bilgisayar,Derslere katılmada bazen sorun yaşadım,Sadece çevrimiçi eğitim,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,İlkyardım beslenme diyabet ,
2022/07/21 10:00:09 ÖÖ GMT+3,,27,Kadın,Lisans,Evli,8,8,İzmir,12,Bilgisayar,Derslere katılmada bazen sorun yaşadım,Sadece çevrimiçi eğitim,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Katılıyorum,Katılıyorum,Kısmen katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Kısmen katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Kısmen katılıyorum,Kısmen katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılmıyorum,Katılmıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Kısmen katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,,
2022/07/21 10:00:23 ÖÖ GMT+3,,45,Kadın,Lisans,Evli,21,21,Karaman,20,Akıllı telefon,Derslere katılmada sıklıkla sorun yaşadım,Çevrimiçi eğitim ve yüz yüze eğitim birlikte,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,,
2022/07/21 10:00:25 ÖÖ GMT+3,,43,Kadın,Lisans,Evli,25,21,Sakarya,24,Bilgisayar,Derslere katılmada sıklıkla sorun yaşadım,Çevrimiçi eğitim ve yüz yüze eğitim birlikte,Katılıyorum,Katılıyorum,Kısmen katılıyorum,Kısmen katılıyorum,Katılıyorum,Kısmen katılıyorum,Kısmen katılıyorum,Kısmen katılıyorum,Kısmen katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Kısmen katılıyorum,Kısmen katılıyorum,Kısmen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Kısmen katılıyorum,Kısmen katılıyorum,Kısmen katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Kısmen katılıyorum,Katılıyorum,Tamamen katılıyorum,Kısmen katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Kısmen katılıyorum,Katılıyorum,Kısmen katılıyorum,Katılıyorum,Katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,,
2022/07/21 10:02:44 ÖÖ GMT+3,,47,Kadın,Lisans,Evli,25,15,Aksaray,21,Akıllı telefon,Derslere katılmada hiç sorun yaşamadım,Sadece yüz yüze eğitim,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Katılıyorum,Katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Katılıyorum,Tamamen katılıyorum,,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Tamamen katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Tamamen katılıyorum,Katılıyorum,Katılıyorum,,
